,name,lr,rex,bias,optim,steps,dataset,datafile,datasize,exp_type,env_split,wandb_tag,weight_init,actual_measure,only_bias__ignore_input,selected_single_measure,nonnegative_weights_only,bias,loss,_step,weight,_runtime,risk_max,risk_min,bias_grad,train_mse,_timestamp,risk_range,rex_penalty,risk_argmax,weight_grad,irmv1_penalty,robustness_penalty
0,sweet-breeze-6449,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.dist_spec_init_adjusted1,False,dist_spec_init,True,0.3279440104961395,5.6660010159248486e-05,499,0.023314587771892548,393.45711612701416,0.0566600114107132,6.7028022385784425e-06,0.0004757969290949404,0.017711888998746872,1591801179.43317,0.05665330961346626,0.0003236694901715964,596,0.0008485555881634355,0.007644901052117348,5.6660010159248486e-05
1,playful-dust-6451,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.path_norm_adjusted1,True,path_norm,True,0.3374769687652588,7.35782814444974e-05,499,0.0010000000474974513,421.7749557495117,0.07357828319072723,6.76237459629192e-06,0.0005423296242952347,0.02179359085857868,1591801207.9173384,0.07357151806354523,0.00045737376785837114,971,0.0,0.009956789202988148,7.35782814444974e-05
2,silver-plant-6449,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.fro_dist_adjusted1,False,fro_dist,True,0.2867678999900818,4.123893813812174e-05,499,0.044453345239162445,392.9837086200714,0.0412389375269413,7.157615073083434e-06,0.0004056861507706344,0.011442292481660845,1591801178.8187048,0.041231781244277954,9.304485138272868e-05,604,0.0008473073830828071,0.003915782086551189,4.123893813812174e-05
3,balmy-oath-6448,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.fro_over_spec_adjusted1,False,fro_over_spec,True,0.3359375596046448,5.780384526588023e-05,499,0.02348361536860466,398.1429817676544,0.05780384689569473,4.180878477200167e-06,-0.00048077001702040434,0.019250545650720596,1591801181.4836748,0.05779966711997986,0.00039436580846086144,505,-0.0006194371380843222,0.00874290056526661,5.780384526588023e-05
4,swift-dream-6447,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.inverse_margin_adjusted1,False,inverse_margin,True,0.3398110866546631,5.4397933126892895e-05,499,0.02947758138179779,394.34708285331726,0.054397933185100555,5.091733783046948e-06,-0.0004663774161599577,0.018281899392604828,1591801177.6516554,0.05439284071326256,0.00036149422521702945,502,-0.0005931463092565536,0.00822872668504715,5.4397933126892895e-05
5,fragrant-silence-6446,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.log_prod_of_fro_adjusted1,False,log_prod_of_fro,True,0.3374769687652588,7.35782814444974e-05,499,0.0,395.2964882850647,0.07357828319072723,6.76237459629192e-06,0.0005423296242952347,0.02179359085857868,1591801176.4103243,0.07357151806354523,0.00045737376785837114,971,0.0002197983703808859,0.009956789202988148,7.35782814444974e-05
6,desert-planet-6445,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.log_prod_of_fro_over_margin_adjusted1,False,log_prod_of_fro_over_margin,True,0.3374769687652588,7.35782814444974e-05,499,0.0,386.3942086696625,0.07357828319072723,6.76237459629192e-06,0.0005423296242952347,0.02179359085857868,1591801137.443419,0.07357151806354523,0.00045737376785837114,971,0.00020926169236190617,0.009956789202988148,7.35782814444974e-05
7,fallen-bee-6444,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.log_sum_of_spec_over_margin_adjusted1,False,log_sum_of_spec_over_margin,True,0.3370839059352875,6.458418647525832e-05,499,0.02330988086760044,351.91352105140686,0.06458418816328049,3.873728019243572e-06,-0.0005081719136796892,0.019920431077480316,1591800783.5449164,0.06458031386137009,0.00043262256076559424,502,-0.00039207449299283326,0.009192345663905144,6.458418647525832e-05
8,trim-lion-6431,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.log_spec_orig_main_adjusted1,False,log_spec_orig_main,True,0.3374769687652588,7.35782814444974e-05,499,0.0,348.0562162399292,0.07357828319072723,6.76237459629192e-06,0.0005423296242952347,0.02179359085857868,1591800779.6875882,0.07357151806354523,0.00045737376785837114,971,0.00028803152963519096,0.009956789202988148,7.35782814444974e-05
9,upbeat-elevator-6431,1,False,True,sgdm,500,,nin_adjusted,,v1,all,june10_v1,0.001,complexity.pacbayes_flatness_adjusted1,False,pacbayes_flatness,True,0.23335424065589905,3.508792360662483e-05,499,0.09302370250225069,348.0352158546448,0.03508792445063591,9.567766028339976e-06,-0.00037421518936753273,0.010527093894779682,1591800779.666711,0.03507835790514946,5.914662324357778e-05,625,-0.0002530734636820853,0.00301583344116807,3.508792360662483e-05
