,name,lr,rex,bias,optim,steps,dataset,datafile,datasize,exp_type,env_split,wandb_tag,weight_init,actual_measure,only_bias__ignore_input,selected_single_measure,nonnegative_weights_only,risk_max,risk_min,bias_grad,_timestamp,weight_grad,irmv1_penalty,loss,_step,_runtime,risk_argmax,robustness_penalty,bias,weight,train_mse,risk_range,rex_penalty
0,glad-morning-23,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.path_norm,True,path_norm,True,0.0726235955953598,2.8011625090584857e-06,-0.0005387262790463865,1600961030,0.0,0.009910184890031816,7.262359576998278e-05,499,270,760,7.262359576998278e-05,0.33815664052963257,0.0010000000474974513,0.02173662930727005,0.07262079417705536,0.0004550173471216112
1,hearty-energy-22,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.dist_spec_init_fft,False,dist_spec_init,True,0.046543240547180176,7.558044217148563e-06,0.0004310270887799561,1600961026,-0.0004535341868177056,0.006031331140547991,4.654324220609851e-05,499,266,708,4.654324220609851e-05,0.31361356377601624,0.027325894683599472,0.01566965878009796,0.0465356819331646,0.0002121844736393541
2,icy-blaze-21,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.fro_dist,False,fro_dist,True,0.03918012231588363,8.237077963713091e-06,-0.0003955393040087074,1600961024,-0.0003335871151648462,0.004166541621088982,3.9180122257675976e-05,499,271,79,3.9180122257675976e-05,0.29229825735092163,0.04156991466879845,0.011962668038904669,0.03917188569903374,0.0001055094035109505
3,usual-cloud-20,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.fro_over_spec_fft,False,fro_over_spec,True,0.05977808311581611,1.101994166674558e-05,-0.0004888964467681944,1600961002,-6.794254295527935e-05,0.00931843463331461,5.9778081777039915e-05,499,252,913,5.9778081777039915e-05,0.3388683795928955,0.024173632264137268,0.02008827403187752,0.059767063707113266,0.0004343331384006888
4,jumping-hill-19,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.inverse_margin,False,inverse_margin,True,0.053858548402786255,6.042552740836982e-06,0.0004640174738597125,1600961007,0.0008294261642731726,0.007991667836904526,5.385854819905944e-05,499,259,847,5.385854819905944e-05,0.3382471203804016,0.03069869801402092,0.017883414402604103,0.05385250598192215,0.00034866368514485657
5,gallant-salad-18,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.log_prod_of_fro,False,log_prod_of_fro,True,0.0726235955953598,2.8011625090584857e-06,-0.0005387262790463865,1600961008,0.0006174697773531079,0.009910184890031816,7.262359576998278e-05,499,268,760,7.262359576998278e-05,0.33815664052963257,0.0,0.02173662930727005,0.07262079417705536,0.0004550173471216112
6,stoic-monkey-17,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.log_prod_of_fro_over_margin,False,log_prod_of_fro_over_margin,True,0.0726235955953598,2.8011625090584857e-06,-0.0005387262790463865,1600960985,0.0006243737298063934,0.009910184890031816,7.262359576998278e-05,499,251,760,7.262359576998278e-05,0.33815664052963257,0.0,0.02173662930727005,0.07262079417705536,0.0004550173471216112
7,tough-meadow-16,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.log_prod_of_spec_over_margin_fft,False,log_prod_of_spec_over_margin,True,0.0726235955953598,2.8011625090584857e-06,-0.0005387262790463865,1600960750,0.0006444238824769855,0.009910184890031816,7.262359576998278e-05,499,250,760,7.262359576998278e-05,0.33815664052963257,0.0,0.02173662930727005,0.07262079417705536,0.0004550173471216112
8,fragrant-wood-15,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.log_prod_of_spec_fft,False,log_prod_of_spec,True,0.0726235955953598,2.8011625090584857e-06,-0.0005387262790463865,1600960743,0.000623765226919204,0.009910184890031816,7.262359576998278e-05,499,244,760,7.262359576998278e-05,0.33815664052963257,0.0,0.02173662930727005,0.07262079417705536,0.0004550173471216112
9,rare-shadow-13,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.log_sum_of_fro_over_margin,False,log_sum_of_fro_over_margin,True,0.05064047500491142,4.509131485974649e-06,-0.0004499623610172421,1600960737,-0.0005424225819297135,0.006332422140985727,5.064047581981867e-05,499,253,913,5.064047581981867e-05,0.31775256991386414,0.037925876677036285,0.015207809396088123,0.05063596740365029,0.0002477020025253296
10,genial-deluge-14,1,False,True,sgdm,500,,nin.cifar10_svhn,,v1,all,sep24_v1,0.001,complexity.log_sum_of_fro,False,log_sum_of_fro,True,0.04712822288274765,3.4642775972315576e-06,-0.0004340711457189173,1600960731,-0.0006125433719716966,0.00532983522862196,4.7128221922321245e-05,499,247,913,4.7128221922321245e-05,0.3068040609359741,0.046331994235515594,0.013307768851518633,0.04712475836277008,0.0001850124535849318
