	index	hp.lr	hp.model_width	hp.model_depth	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_sum_of_fro	complexity.param_norm	complexity.path_norm	complexity.params	complexity.log_prod_of_spec	complexity.log_sum_of_spec	complexity.fro_dist	complexity.fro_over_spec	complexity.dist_spec_init	complexity.pacbayes_orig	complexity.pacbayes_init	complexity.pacbayes_flatness	complexity.pacbayes_mag_orig	complexity.pacbayes_mag_init	complexity.pacbayes_mag_flatness	complexity.inverse_margin	complexity.log_prod_of_fro_over_margin	complexity.log_sum_of_fro_over_margin	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_spec_over_margin	complexity.path_norm_over_margin	experiment_id	cross_entropy	data_seed	seed	train_dataset_size	epoch	gen.gap	gen.val_acc	gen.train_acc	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
1	1	0.01	14	3	90.8583	48.3599	114.786	8.73501	8255.23	45.4203	2962430	39.5415	4.97281	2338.68	1496.48	31.8569	132105	37440.4	64	3.90532e+06	2.97377e+06	4.99884	0.0487475	111.765	8.58396	36.5204	4.82175	2.21413	-5125843615822465566	0.00991242	42	1	12500	15	0.35832	0.6416	0.99992	1590114333347951432	True	True	True
3	3	0.00631	16	4	105.548	49.8087	151.393	9.08091	11140.4	22.8134	5629230	50.4202	5.19734	2480.9	2244.77	32.6674	167629	37346.7	60.18	7.29175e+06	5.18362e+06	3.90787	0.0415388	148.212	8.95856	47.2391	5.07499	0.94764	-8735883835984416639	0.0099316	42	0	12500	18	0.3437	0.6555	0.9992	1590114390440215274	True	True	True
5	5	0.01	8	4	72.9264	38.1644	134.236	8.42101	5318.26	25.668	1414630	46.2682	5.03765	1456.52	1123.96	33.1821	71151.5	19502	53.4988	1.74743e+06	1.29118e+06	4.55111	0.0449983	131.135	8.30174	43.1671	4.91837	1.15502	-2972983487453045749	0.0098082	42	2	12500	22	0.35262	0.6469	0.99952	1590114296391574496	True	True	True
6	6	0.01	12	6	95.7015	46.5079	201.388	8.93728	9158.78	7.04802	5157330	71.2687	5.51308	2162.98	1561.12	50.1286	126094	29795.3	55.0607	6.46926e+06	4.61424e+06	4	0.0376369	198.109	8.85097	67.989	5.42677	0.265266	-2784644901043528648	0.00834401	42	2	12500	64	0.36152	0.6376	0.99912	1590115010842999698	True	True	True
8	8	0.001585	12	2	91.951	62.1206	84.3321	8.66278	8454.99	1040.44	1186530	29.5003	4.74622	3858.97	1533.54	35.8022	159202	72673.6	75.3071	1.60836e+06	1.37645e+06	11.6508	0.0381727	81.0664	8.42952	26.2347	4.51296	39.7163	-10688740159849512	0.0099693	42	1	12500	58	0.3724	0.6276	1	1590115174508061503	True	True	True
9	9	0.001	16	4	123.698	65.2605	158.709	9.36228	15301.1	443.511	5629230	51.2447	5.22905	4258.93	3675.39	30.3867	319784	89024.6	83.5918	7.18221e+06	5.38659e+06	5.22449	0.0362089	155.39	9.23465	47.9262	5.10141	16.0591	5812349128615729751	0.00942306	42	2	12500	22	0.4137	0.5863	1	1590116045170016864	True	True	True
12	12	0.003162	14	4	106.162	52.9029	151.952	9.1024	11270.3	87.2978	4313080	49.7893	5.17307	2798.71	2543.67	31.1571	186117	46233.8	66.0479	5.67043e+06	4.17233e+06	4.26223	0.0395277	148.721	8.97814	46.5585	5.04881	3.45068	549308750305819387	0.00865788	42	2	12500	19	0.36204	0.6378	0.99984	1590115096007674433	True	True	True
17	17	0.001	14	6	127.574	61.0549	224.183	9.53715	16275.1	80.7116	7014380	72.7966	5.55329	3727.71	3854.33	41.9664	277494	63574.9	68.1956	8.85542e+06	6.27763e+06	4.58928	0.0303231	220.687	9.44515	69.3007	5.46129	2.44742	-8848986184548619366	0.00887022	42	4	12500	88	0.3948	0.6052	1	1590167335869234251	True	True	True
18	18	0.00631	12	3	88.1626	48.0784	114.084	8.69996	7772.65	102.172	2179230	38.7095	4.93121	2311.53	1580.64	30.2298	124384	37006.1	64	2.9096e+06	2.25086e+06	6.00133	0.0465389	111.017	8.54658	35.642	4.77783	4.75497	1509510996435988000	0.00962429	42	0	12500	16	0.35894	0.6409	0.99984	1590114389655529124	True	True	True
19	19	0.003162	16	4	113.919	56.7609	155.056	9.22178	12977.4	80.5367	5629230	50.6025	5.20435	3221.8	2880.16	31.5421	214305	53219.8	66.0479	7.4234e+06	5.46748e+06	4.22806	0.0391564	151.816	9.09716	47.3623	5.07973	3.15352	-3898319721660655299	0.00886937	42	4	12500	18	0.35556	0.6442	0.99976	1590115616241274233	True	True	True
