	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
22	22	44.0843	4040.39	1080.51	0.0427904	83.5044	63.564	80.2804	77.129	28.8684	25.717	8.37338	8.14827	4.70109	4.47599	80.6845	81521.5	16.7772	689094	761203	140675	6972.99	531030	1799.21	76.989	0.00976595	42	92	-8523305536344828929	0.3234	1	0.6766	0.001	2	8	1	25000	1590098334281682294	True	True	True
23	23	41.7834	3896.11	1090.17	0.0435536	82.6651	62.4188	80.2233	77.0896	28.7133	25.5796	8.36929	8.14545	4.69001	4.46617	72.8178	70948.7	19.15	698665	772909	124423	6833.51	531030	1724.79	75.1209	0.00987883	42	89	-8523305536344828929	0.3212	1	0.6788	0.001	2	8	0	25000	1590098337622456977	True	True	True
24	24	42.6122	4045.31	1089.49	0.0425679	83.6009	63.6027	80.3402	77.1836	28.8347	25.6781	8.37765	8.15217	4.69868	4.47321	77.9263	78831.2	20.898	712055	784308	136181	6989.11	531030	1891.84	80.5315	0.00983069	42	88	-8523305536344828929	0.3168	1	0.6832	0.001	2	8	2	25000	1590098350757736735	True	True	True
25	25	40.8277	3954.82	1101	0.0431368	83.0785	62.8874	80.2595	77.1161	28.6619	25.5185	8.37188	8.14735	4.68633	4.46181	80.6845	79795.6	20.898	710142	783728	139244	6902.03	531030	1775.88	76.6058	0.00993269	42	88	-8523305536344828929	0.3253	1	0.6747	0.001	2	8	3	25000	1590098359880668880	True	True	True
28	28	39.0486	4321.28	1501.97	0.0395605	94.0228	65.7364	84.6284	81.3985	29.8076	26.5777	8.68394	8.45323	4.76817	4.53746	100.786	108903	16	1.47439e+06	1.68602e+06	222766	8840.29	1186530	1366.89	54.0748	0.00948799	42	65	-502694889760783273	0.3121	1	0.6879	0.001	2	12	2	25000	1590098446881441526	True	True	True
29	29	40.1889	4074.96	1311.06	0.0412981	88.5032	63.8354	82.676	79.4891	29.31	26.1231	8.54449	8.31685	4.73263	4.50499	83.5918	85180.7	17.0489	1.04934e+06	1.18381e+06	163712	7832.82	826280	1491.78	61.6077	0.00977099	42	74	-3728529269831051920	0.3159	1	0.6841	0.001	2	10	4	25000	1590098448539102232	True	True	True
30	30	39.6761	4055.98	1303.91	0.0415792	88.2547	63.6865	82.6312	79.4511	29.2807	26.1005	8.54129	8.31413	4.73053	4.50338	83.5918	84783.9	15.045	1.02852e+06	1.1628e+06	162794	7788.9	826280	1537.85	63.9424	0.00995095	42	74	-3728529269831051920	0.3209	1	0.6791	0.001	2	10	2	25000	1590098448539202466	True	True	True
31	31	39.4035	4378.7	1520.4	0.0403415	94.4965	66.1717	84.7108	81.5005	29.8205	26.6101	8.68983	8.46052	4.76909	4.53978	83.5918	91528.2	13.9669	1.44106e+06	1.65177e+06	186632	8929.58	1186530	1392.47	56.1742	0.0092625	42	64	-502694889760783273	0.3209	1	0.6791	0.001	2	12	0	25000	1590098448550030254	True	True	True
32	32	40.6705	4105.03	1309.71	0.0417356	88.6579	64.0705	82.688	79.5117	29.3266	26.1502	8.54535	8.31846	4.73382	4.50693	86.6592	88957.1	16.253	1.0449e+06	1.17858e+06	170312	7860.22	826280	1514.82	63.2221	0.00982069	42	74	-3728529269831051920	0.3151	1	0.6849	0.001	2	10	3	25000	1590098448535840085	True	True	True
33	33	38.8512	4341.24	1527.52	0.0409033	94.3664	65.8881	84.7169	81.5203	29.8092	26.6126	8.69026	8.46194	4.76829	4.53996	83.5918	90745.4	12.642	1.40976e+06	1.62219e+06	186119	8905.02	1186530	1264.21	51.7103	0.00966797	42	67	-502694889760783273	0.3182	1	0.6818	0.001	2	12	1	25000	1590098448663224765	True	True	True
34	34	42.5754	3869.51	1087.19	0.0427345	82.5147	62.2054	80.218	77.0653	28.7767	25.624	8.36892	8.14372	4.69454	4.46934	75.3071	72872.6	17.3273	687759	762427	128208	6808.68	531030	1720.22	73.5126	0.00977419	42	91	-8523305536344828929	0.3216	1	0.6784	0.001	2	8	4	25000	1590098449123026435	True	True	True
35	35	40.5115	4106.06	1313.89	0.0398588	88.5701	64.0786	82.6841	79.4616	29.2897	26.0673	8.54506	8.31489	4.73118	4.50101	100.786	103481	14.5992	1.02375e+06	1.15697e+06	197680	7844.66	826280	1544.69	61.5694	0.0094759	42	75	-3728529269831051920	0.3178	1	0.6822	0.001	2	10	0	25000	1590098451203462218	True	True	True
36	36	38.8936	4340.32	1519.21	0.0405052	94.3349	65.8811	84.6704	81.4641	29.7804	26.5741	8.68694	8.45792	4.76623	4.53721	89.8985	97569.4	14.173	1.44159e+06	1.65388e+06	200025	8899.07	1186530	1344.93	54.4766	0.00968791	42	63	-502694889760783273	0.3146	1	0.6854	0.001	2	12	4	25000	1590098452121824203	True	True	True
37	37	39.6828	4013.26	1317.17	0.0417925	88.0299	63.3503	82.6308	79.4558	29.2281	26.0531	8.54126	8.31447	4.72678	4.49999	86.6592	86968.9	13.9669	1.00842e+06	1.14382e+06	167909	7749.27	826280	1462.63	61.1271	0.00966904	42	74	-3728529269831051920	0.3174	1	0.6826	0.001	2	10	1	25000	1590098453970030354	True	True	True
