	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
0	0	43.56919479370117	4926.1015625	1414.6484375	0.046693332493305206	96.33944702148438	70.18618774414062	84.74070739746094	81.67655181884766	30.23737144470215	27.1732177734375	20.052907943725586	19.83403968811035	16.159812927246094	15.94094467163086	93.32289123535156	114952.5859375	16.0	1512290.0	1699587.875	216562.28125	9281.291015625	1186530	1356.5380859375	63.34128189086914	0.009874165725708008	42	58	-502694889760783273	0.2682	1.0	0.7318	0.001	2	12	2	50000	1590098175192564895	True	True	True
1	1	45.08555603027344	5209.63818359375	1443.533935546875	0.04504549130797386	97.857666015625	72.17782592773438	84.8955078125	81.79542541503906	30.21029281616211	27.110210418701172	20.06396484375	19.842531204223633	16.157878875732422	15.936443328857422	83.59183502197266	108893.84375	15.752899169921875	1527033.75	1707032.5	200144.453125	9576.123046875	1186530	1684.723388671875	75.88919830322266	0.009702394409179688	42	56	-502694889760783273	0.26139999999999997	1.0	0.7386	0.001	2	12	0	50000	1590098175621826267	True	True	True
2	2	44.961551666259766	5159.8212890625	1444.02490234375	0.044448960572481155	97.57950592041016	71.83189392089844	84.86933135986328	81.75592041015625	30.20522117614746	27.091808319091797	20.062095642089844	19.83970832824707	16.157516479492188	15.935129165649414	86.65917205810547	111809.5	17.612470626831055	1547554.625	1728711.0	206310.0	9521.759765625	1186530	1537.8013916015625	68.35367584228516	0.009719255142211914	42	57	-502694889760783273	0.267	1.0	0.733	0.001	2	12	1	50000	1590098175979143793	True	True	True
3	3	47.617271423339844	5503.53125	1091.583984375	0.047943342477083206	91.1229019165039	74.185791015625	80.67072296142578	77.63298797607422	29.080047607421875	26.042312622070312	19.762195587158203	19.54521369934082	16.077146530151367	15.8601655960083	80.68451690673828	111035.46875	23.33072280883789	763116.125	817462.75	167511.625	8303.3818359375	531030	2331.793212890625	111.79396057128906	0.009935197143554687	42	81	-8523305536344828929	0.27869999999999995	1.0	0.7213	0.001	2	8	4	50000	1590098194382110279	True	True	True
4	4	50.2524299621582	5299.77099609375	1070.4127197265625	0.04765060171484947	90.09384155273438	72.79953002929688	80.66432189941406	77.6204605102539	29.249523162841797	26.205663681030273	19.761737823486328	19.54431915283203	16.089252471923828	15.871832847595215	75.30709838867188	99800.5859375	23.777233123779297	758284.25	814614.375	152838.03125	8116.900390625	531030	2288.512451171875	109.04899597167969	0.009810344161987304	42	82	-8523305536344828929	0.27190000000000003	1.0	0.7281	0.001	2	8	3	50000	1590098197501332755	True	True	True
5	5	49.97886276245117	5691.3193359375	1073.7047119140625	0.046841688454151154	92.1463623046875	75.44084167480469	80.75462341308594	77.69364166259766	29.264408111572266	26.203426361083984	19.7681884765625	19.549545288085938	16.090314865112305	15.871673583984375	83.59183502197266	118960.015625	26.214399337768555	779809.125	832674.0	177466.59375	8490.951171875	531030	2497.818359375	117.00202941894531	0.009662962341308593	42	81	-8523305536344828929	0.2713	1.0	0.7287	0.001	2	8	0	50000	1590098198314828278	True	True	True
6	6	50.49281692504883	5660.833984375	1073.2398681640625	0.04770130664110184	92.00049591064453	75.23851013183594	80.73896026611328	77.6961669921875	29.261226654052734	26.218429565429688	19.76706886291504	19.549726486206055	16.090087890625	15.872745513916016	89.89849090576172	127248.1640625	20.897958755493164	754076.125	807232.0625	190250.3125	8464.08984375	531030	2471.200439453125	117.87948608398438	0.00989527961730957	42	81	-8523305536344828929	0.27459999999999996	1.0	0.7254	0.001	2	8	1	50000	1590098198476290150	True	True	True
7	7	47.122474670410156	5029.19482421875	1245.6708984375	0.046449001878499985	92.74250793457031	70.91681671142578	82.89482116699219	79.82542419433594	29.773340225219727	26.70393943786621	19.921058654785156	19.70181655883789	16.126667022705078	15.907423973083496	80.68451690673828	101467.5546875	20.529720306396484	1120066.375	1230501.25	173518.390625	8601.171875	826280	1864.298095703125	86.59478759765625	0.009950017013549804	42	65	-3728529269831051920	0.26749999999999996	1.0	0.7325	0.001	2	10	1	50000	1590098198562370307	True	True	True
8	8	47.44269561767578	5187.232421875	1242.7158203125	0.047291673719882965	93.53998565673828	72.02244567871094	82.88363647460938	79.83221435546875	29.762502670288086	26.711082458496094	19.920259475708008	19.702301025390625	16.125892639160156	15.907934188842773	80.68451690673828	104655.359375	24.23668670654297	1158457.75	1266049.625	176514.921875	8749.728515625	826280	1937.760009765625	91.6399154663086	0.0097768017578125	42	65	-3728529269831051920	0.26870000000000005	1.0	0.7313	0.001	2	10	2	50000	1590098198608740044	True	True	True
9	9	46.20466232299805	5103.4365234375	1253.767822265625	0.04437275230884552	93.17620086669922	71.43833923339844	82.93767547607422	79.82254791259766	29.736629486083984	26.62150001525879	19.92411994934082	19.701610565185547	16.12404441833496	15.901535987854004	83.59183502197266	106674.4375	21.276195526123047	1128687.5	1238027.125	181455.03125	8681.8046875	826280	1905.1524658203125	84.53685760498047	0.009240855407714844	42	66	-3728529269831051920	0.26459999999999995	1.0	0.7354	0.001	2	10	0	50000	1590098200098162938	True	True	True
