	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	index	is.converged	is.high_train_accuracy	is.last_epoch	repeat_id	seed	train_dataset_size	complexity.dist_spec_init_adjusted1	complexity.fro_dist_adjusted1	complexity.fro_over_spec_adjusted1	complexity.l2_adjusted1	complexity.l2_dist_adjusted1	complexity.log_prod_of_fro_adjusted1	complexity.log_prod_of_fro_over_margin_adjusted1	complexity.log_prod_of_spec_adjusted1	complexity.log_prod_of_spec_over_margin_adjusted1	complexity.log_sum_of_fro_adjusted1	complexity.log_sum_of_fro_over_margin_adjusted1	complexity.log_sum_of_spec_adjusted1	complexity.log_sum_of_spec_over_margin_adjusted1	complexity.pacbayes_flatness_adjusted1	complexity.pacbayes_init_adjusted1	complexity.pacbayes_mag_flatness_adjusted1	complexity.pacbayes_mag_init_adjusted1	complexity.pacbayes_mag_orig_adjusted1	complexity.pacbayes_orig_adjusted1	complexity.param_norm_adjusted1	complexity.path_norm_adjusted1	complexity.path_norm_over_margin_adjusted1	complexity.path_norm_adjusted2	complexity.path_norm_over_margin_adjusted2
0	28.0481	1511.13	1095.11	0.0425705	70.9315	38.8732	106.32	103.163	36.3764	33.2198	8.31171	8.15388	4.81455	4.65672	55.0607	20821.7	6.11786	995088	1.28644e+06	69277.2	5031.28	972830	84.6451	3.60339	0.00828169	42	19	-2959591463707652910	0.4333	1	0.5667	0.01	3	8	0	True	True	True	1590113276198804107	4	6250	0.0669903	0.491712	0.41859	0.106532	0.0788652	0.130427	0.128476	0.0762904	0.0729052	0.0364674	0.0361195	0.0277548	0.0272961	0.0938601	1.82523	0.0312867	12.618	14.3468	3.32932	0.897221	0.116375	0.0240113	4.40348e+23	0.000168262
2	32.6047	3263.4	1388.18	0.041906	92.6272	57.1262	84.5621	81.3898	29.7422	26.5699	8.67921	8.45261	4.7635	4.53691	77.9263	63597.1	7.41693	2.39449e+06	2.90112e+06	167169	8579.8	2102030	196.05	8.21568	0.00977058	42	25	-2546047217668018735	0.3718	1	0.6282	0.01	2	16	2	True	True	True	1590113528386056542	3	6250	0.0722271	0.722595	0.471284	0.121739	0.0956044	0.116318	0.114116	0.0689837	0.0652011	0.0372649	0.0367752	0.0276072	0.0269426	0.111661	3.18991	0.0344486	19.5734	21.5448	5.17175	1.17165	0.17711	0.0362562	1.48696e+22	765.902
4	36.2819	2446.55	2755.69	0.0321531	113.909	49.4626	185.86	182.423	61.4163	57.979	9.27385	9.16644	5.38499	5.27758	60.18	36829.2	7.03761	7.27114e+06	1.03456e+07	195233	12975.2	7392830	20.5324	0.660181	0.00981839	42	63	-5508358605167037948	0.45752	0.99872	0.5412	0.003162	5	16	4	True	True	True	1590113489209509612	0	6250	0.0761912	0.625658	0.664011	0.135002	0.0889608	0.172446	0.170844	0.0991292	0.0963153	0.0385203	0.0382966	0.029353	0.0290588	0.0981264	2.42748	0.0335562	34.1084	40.6853	5.58903	1.44084	0.0573165	0.0102776	1.04167e+16	1.77369e-32
7	33.3249	4710.9	2174.33	0.0328201	105.559	68.636	87.9774	84.5607	30.1827	26.766	8.92316	8.6791	4.79496	4.55091	86.6592	102082	8.46281	2.19954e+06	2.6508e+06	241427	11142.8	2102030	1006.45	33.0318	0.00999221	42	91	3878930905162672824	0.4239	1	0.5761	0.001	2	16	7	True	True	True	1590115277185170393	4	6250	0.0730204	0.868184	0.589824	0.129959	0.104794	0.118644	0.116317	0.0694927	0.0654413	0.037785	0.0372647	0.0276983	0.0269842	0.117752	4.04143	0.0367974	18.7597	20.5944	6.21517	1.33523	0.401288	0.0726986	1.31297e+32	2.2091e+11
10	31.7931	4058.37	1926.85	0.0338449	100.642	63.7054	86.8834	83.4974	29.8668	26.4808	8.84501	8.60316	4.7724	4.53054	80.6845	81882.9	7.65943	2.24903e+06	2.72841e+06	204331	10128.8	2102030	602.291	20.3845	0.00875016	42	39	-5731590468595689123	0.4074	1	0.5926	0.003162	2	16	10	True	True	True	1590113632883816676	1	6250	0.0713225	0.805816	0.555244	0.126896	0.10096	0.117904	0.115584	0.0691281	0.0650917	0.0376192	0.0371013	0.027633	0.0269237	0.11362	3.61957	0.0350073	18.9696	20.8937	5.71778	1.27303	0.31043	0.0571097	9.91866e+28	2.56664e+08
11	42.6195	2352.51	2722.02	0.0330779	113.659	48.5027	215.739	212.33	71.9593	68.5504	9.31492	9.22522	5.53125	5.44155	60.18	35414.3	3.73292	5.99732e+06	8.97524e+06	194376	12918.3	7014380	13.8213	0.45718	0.00903376	42	111	-1831960413689477244	0.44636	0.99936	0.553	0.003162	6	14	11	True	True	True	1590114370114903741	2	6250	0.082578	0.613516	0.659942	0.134853	0.0880933	0.185791	0.184317	0.107301	0.104729	0.0386055	0.0384192	0.0297489	0.0295067	0.0981264	2.3804	0.0244391	30.9769	37.8951	5.57675	1.43768	0.0470256	0.00855271	2.67319e+11	1.47736e-45
13	32.7565	2751.72	1103.41	0.0436883	81.7915	52.4569	81.486	78.3553	28.9482	25.8175	8.45949	8.23587	4.70678	4.48316	68.1956	46934.7	7.49647	1.35295e+06	1.61559e+06	114075	6689.85	1186530	239.215	10.4509	0.00989068	42	30	-2775294095317312987	0.3901	1	0.6099	0.01	2	12	13	True	True	True	1590113147000351227	2	6250	0.072395	0.663532	0.420173	0.114397	0.0916139	0.114183	0.111968	0.0680567	0.0642713	0.0367902	0.0363007	0.0274424	0.0267826	0.104457	2.74036	0.0346329	14.713	16.0778	4.27224	1.03459	0.195638	0.0408919	2.41102e+23	22249.3
14	34.0823	2103.66	2280.51	0.0313457	96.7018	45.8657	176.62	173.157	57.9364	54.4737	8.98511	8.8769	5.27625	5.16804	58.397	30732.6	7.33865	2.98699e+06	4.06341e+06	136542	9351.24	2895530	63.4046	1.98746	0.00991194	42	70	3479100151182935276	0.4846	0.9992	0.5146	0.001585	5	10	14	True	True	True	1590114839908142084	4	6250	0.0738456	0.58016	0.604054	0.124388	0.0856651	0.168105	0.166449	0.0962799	0.0933584	0.0379159	0.0376869	0.0290551	0.0287556	0.0966619	2.21748	0.0342664	21.8613	25.498	4.67405	1.22319	0.100721	0.0178324	4.86995e+31	3.67459e-17
15	32.3034	2878.06	1168.03	0.0347665	77.6654	53.6476	79.7785	76.4194	27.9783	24.6192	8.33752	8.09758	4.6375	4.39757	75.3071	54205.6	12.8194	611624	709399	113583	6031.92	531030	1231.12	42.8017	0.00995756	42	129	2870264491309729402	0.4327	1	0.5673	0.001	2	8	15	True	True	True	1590114733970471310	3	6250	0.0718926	0.678594	0.432302	0.111474	0.0926478	0.11298	0.110576	0.0669069	0.062762	0.036524	0.0359946	0.0272397	0.0265257	0.109769	2.94498	0.0452891	9.89241	10.6538	4.26301	0.982399	0.443823	0.0827543	2.2048e+33	8.31032e+12
16	28.6297	1766.65	1285.47	0.0443341	78.6293	42.0315	109.883	106.767	37.4507	34.3347	8.48987	8.33407	4.86827	4.71247	58.397	25812.5	4.87039	1.5071e+06	1.98026e+06	90281.7	6182.57	1516030	69.3561	3.07484	0.00951066	42	20	-4585854124910700937	0.43434	0.99984	0.5655	0.01	3	10	16	True	True	True	1590113120428773524	2	6250	0.0676813	0.531662	0.453514	0.112164	0.0820063	0.132594	0.130701	0.0774087	0.0741185	0.0368562	0.0365165	0.0279092	0.027459	0.0966619	2.03224	0.0279153	15.5286	17.8	3.80067	0.994591	0.105342	0.0221805	8.1932e+21	7.05035e-06
