,complexity.dist_spec_init,complexity.fro_dist,complexity.fro_over_spec,complexity.inverse_margin,complexity.l2,complexity.l2_dist,complexity.log_prod_of_fro,complexity.log_prod_of_fro_over_margin,complexity.log_prod_of_spec,complexity.log_prod_of_spec_over_margin,complexity.log_sum_of_fro,complexity.log_sum_of_fro_over_margin,complexity.log_sum_of_spec,complexity.log_sum_of_spec_over_margin,complexity.pacbayes_flatness,complexity.pacbayes_init,complexity.pacbayes_mag_flatness,complexity.pacbayes_mag_init,complexity.pacbayes_mag_orig,complexity.pacbayes_orig,complexity.param_norm,complexity.params,complexity.path_norm,complexity.path_norm_over_margin,cross_entropy,data_seed,epoch,experiment_id,gen.gap,gen.train_acc,gen.val_acc,hp.lr,hp.model_depth,hp.model_width,index,is.converged,is.high_train_accuracy,is.last_epoch,repeat_id,seed,train_dataset_size,hp.dataset,complexity.dist_spec_init_adjusted1,complexity.fro_dist_adjusted1,complexity.fro_over_spec_adjusted1,complexity.inverse_margin_adjusted1,complexity.l2_adjusted1,complexity.l2_dist_adjusted1,complexity.pacbayes_flatness_adjusted1,complexity.pacbayes_init_adjusted1,complexity.pacbayes_mag_flatness_adjusted1,complexity.pacbayes_mag_init_adjusted1,complexity.pacbayes_mag_orig_adjusted1,complexity.pacbayes_orig_adjusted1,complexity.param_norm_adjusted1,complexity.path_norm_adjusted1,complexity.path_norm_over_margin_adjusted1,complexity.log_prod_of_fro_adjusted1,complexity.log_prod_of_fro_over_margin_adjusted1,complexity.log_prod_of_spec_adjusted1,complexity.log_prod_of_spec_over_margin_adjusted1,complexity.log_sum_of_fro_adjusted1,complexity.log_sum_of_fro_over_margin_adjusted1,complexity.log_sum_of_spec_adjusted1,complexity.log_sum_of_spec_over_margin_adjusted1,hp.train_dataset_size,complexity.log_spec_orig_main,complexity.log_spec_orig_main_adjusted1
0,28.05,1511,1095,0.04257,70.93,38.87,106.3,103.2,36.38,33.22,8.312,8.154,4.815,4.657,55.06,2.082e+04,6.118,9.951e+05,1.286e+06,6.928e+04,5031,972830,84.65,3.603,0.008282,42,19,-2959591463707652910,0.4333,1,0.5667,0.01,3,8,0,True,True,True,1590113276198804107,4,6250,cifar10,0.06699,0.4917,0.4186,0.00261,0.1065,0.07887,0.09386,1.825,0.03129,12.62,14.35,3.329,0.8972,0.1164,0.02401,48.79,47.21,13.82,12.24,-0.2143,-0.2932,-1.963,-2.042,6250,40.22,15.74
2,32.6,3263,1388,0.04191,92.63,57.13,84.56,81.39,29.74,26.57,8.679,8.453,4.764,4.537,77.93,6.36e+04,7.417,2.394e+06,2.901e+06,1.672e+05,8580,2102030,196.1,8.216,0.009771,42,25,-2546047217668018735,0.3718,1,0.6282,0.01,2,16,2,True,True,True,1590113528386056542,3,6250,cifar10,0.07223,0.7226,0.4713,0.002589,0.1217,0.0956,0.1117,3.19,0.03445,19.57,21.54,5.172,1.172,0.1771,0.03626,37.91,36.32,10.5,8.915,-0.03056,-0.1439,-1.988,-2.102,6250,33.81,12.53
4,36.28,2447,2756,0.03215,113.9,49.46,185.9,182.4,61.42,57.98,9.274,9.166,5.385,5.278,60.18,3.683e+04,7.038,7.271e+06,1.035e+07,1.952e+05,1.298e+04,7392830,20.53,0.6602,0.009818,42,63,-5508358605167037948,0.4575,0.9987,0.5412,0.003162,5,16,4,True,True,True,1590113489209509612,0,6250,cifar10,0.07619,0.6257,0.664,0.002268,0.135,0.08896,0.09813,2.427,0.03356,34.11,40.69,5.589,1.441,0.05732,0.01028,88.56,86.84,26.34,24.62,0.2668,0.2131,-1.678,-1.731,6250,65.9,28.58
7,33.32,4711,2174,0.03282,105.6,68.64,87.98,84.56,30.18,26.77,8.923,8.679,4.795,4.551,86.66,1.021e+05,8.463,2.2e+06,2.651e+06,2.414e+05,1.114e+04,2102030,1006,33.03,0.009992,42,91,3878930905162672824,0.4239,1,0.5761,0.001,2,16,7,True,True,True,1590115277185170393,4,6250,cifar10,0.07302,0.8682,0.5898,0.002292,0.13,0.1048,0.1178,4.041,0.0368,18.76,20.59,6.215,1.335,0.4013,0.0727,39.62,37.91,10.72,9.013,0.09141,-0.03062,-1.973,-2.095,6250,34.45,12.86
10,31.79,4058,1927,0.03384,100.6,63.71,86.88,83.5,29.87,26.48,8.845,8.603,4.772,4.531,80.68,8.188e+04,7.659,2.249e+06,2.728e+06,2.043e+05,1.013e+04,2102030,602.3,20.38,0.00875,42,39,-5731590468595689123,0.4074,1,0.5926,0.003162,2,16,10,True,True,True,1590113632883816676,1,6250,cifar10,0.07132,0.8058,0.5552,0.002327,0.1269,0.101,0.1136,3.62,0.03501,18.97,20.89,5.718,1.273,0.3104,0.05711,39.07,37.38,10.56,8.87,0.05234,-0.06859,-1.984,-2.105,6250,34.04,12.65
11,42.62,2353,2722,0.03308,113.7,48.5,215.7,212.3,71.96,68.55,9.315,9.225,5.531,5.442,60.18,3.541e+04,3.733,5.997e+06,8.975e+06,1.944e+05,1.292e+04,7014380,13.82,0.4572,0.009034,42,111,-1831960413689477244,0.4464,0.9994,0.553,0.003162,6,14,11,True,True,True,1590114370114903741,2,6250,cifar10,0.08258,0.6135,0.6599,0.002301,0.1349,0.08809,0.09813,2.38,0.02444,30.98,37.9,5.577,1.438,0.04703,0.008553,103.5,101.8,31.61,29.91,0.2873,0.2424,-1.605,-1.649,6250,76.46,33.86
13,32.76,2752,1103,0.04369,81.79,52.46,81.49,78.36,28.95,25.82,8.459,8.236,4.707,4.483,68.2,4.693e+04,7.496,1.353e+06,1.616e+06,1.141e+05,6690,1186530,239.2,10.45,0.009891,42,30,-2775294095317312987,0.3901,1,0.6099,0.01,2,12,13,True,True,True,1590113147000351227,2,6250,cifar10,0.0724,0.6635,0.4202,0.002644,0.1144,0.09161,0.1045,2.74,0.03463,14.71,16.08,4.272,1.035,0.1956,0.04089,36.37,34.81,10.1,8.539,-0.1404,-0.2522,-2.017,-2.129,6250,32.82,12.04
14,34.08,2104,2281,0.03135,96.7,45.87,176.6,173.2,57.94,54.47,8.985,8.877,5.276,5.168,58.4,3.073e+04,7.339,2.987e+06,4.063e+06,1.365e+05,9351,2895530,63.4,1.987,0.009912,42,70,3479100151182935276,0.4846,0.9992,0.5146,0.001585,5,10,14,True,True,True,1590114839908142084,4,6250,cifar10,0.07385,0.5802,0.6041,0.002239,0.1244,0.08567,0.09666,2.217,0.03427,21.86,25.5,4.674,1.223,0.1007,0.01783,83.94,82.21,24.6,22.87,0.1224,0.06828,-1.732,-1.786,6250,62.21,26.73
15,32.3,2878,1168,0.03477,77.67,53.65,79.78,76.42,27.98,24.62,8.338,8.098,4.638,4.398,75.31,5.421e+04,12.82,6.116e+05,7.094e+05,1.136e+05,6032,531030,1231,42.8,0.009958,42,129,2870264491309729402,0.4327,1,0.5673,0.001,2,8,15,True,True,True,1590114733970471310,3,6250,cifar10,0.07189,0.6786,0.4323,0.002359,0.1115,0.09265,0.1098,2.945,0.04529,9.892,10.65,4.263,0.9824,0.4438,0.08275,35.52,33.84,9.619,7.939,-0.2014,-0.3214,-2.051,-2.171,6250,31.68,11.47
16,28.63,1767,1285,0.04433,78.63,42.03,109.9,106.8,37.45,34.33,8.49,8.334,4.868,4.712,58.4,2.581e+04,4.87,1.507e+06,1.98e+06,9.028e+04,6183,1516030,69.36,3.075,0.009511,42,20,-4585854124910700937,0.4343,0.9998,0.5655,0.01,3,10,16,True,True,True,1590113120428773524,2,6250,cifar10,0.06768,0.5317,0.4535,0.002663,0.1122,0.08201,0.09666,2.032,0.02792,15.53,17.8,3.801,0.9946,0.1053,0.02218,50.57,49.01,14.36,12.8,-0.1252,-0.2031,-1.936,-2.014,6250,41.49,16.38
