	index	complexity.dist_spec_init	complexity.fro_dist	complexity.fro_over_spec	complexity.inverse_margin	complexity.l2	complexity.l2_dist	complexity.log_prod_of_fro	complexity.log_prod_of_fro_over_margin	complexity.log_prod_of_spec	complexity.log_prod_of_spec_over_margin	complexity.log_sum_of_fro	complexity.log_sum_of_fro_over_margin	complexity.log_sum_of_spec	complexity.log_sum_of_spec_over_margin	complexity.pacbayes_flatness	complexity.pacbayes_init	complexity.pacbayes_mag_flatness	complexity.pacbayes_mag_init	complexity.pacbayes_mag_orig	complexity.pacbayes_orig	complexity.param_norm	complexity.params	complexity.path_norm	complexity.path_norm_over_margin	cross_entropy	data_seed	epoch	experiment_id	gen.gap	gen.train_acc	gen.val_acc	hp.lr	hp.model_depth	hp.model_width	seed	train_dataset_size	repeat_id	is.last_epoch	is.converged	is.high_train_accuracy
0	0	62.938873291015625	11167.392578125	1216.6954345703125	0.0424145944416523	118.81224822998047	105.6758804321289	81.86996459960938	78.70970153808594	29.612892150878906	26.45262908935547	8.486912727355957	8.261178970336914	4.754263877868652	4.528531074523926	86.65917205810547	241961.59375	30.309167861938477	886980.4375	917947.3125	305850.15625	14116.3505859375	531030	4294.71728515625	182.15869140625	0.009952721710205078	42	148	-362011076047133563	0.3843	1.0	0.6157	0.001	2	8	1	25000	1590949320891797529	True	True	True
1	1	64.55845642089844	11102.1142578125	1202.4361572265625	0.041103560477495193	118.61194610595703	105.36656188964844	81.93367004394531	78.74201202392578	29.738372802734375	26.54671287536621	8.491462707519531	8.263486862182617	4.7632269859313965	4.535251140594482	83.59183502197266	232033.828125	38.052547454833984	908396.0625	939691.6875	294031.40625	14068.796875	531030	4322.447265625	177.66796875	0.00973337905883789	42	153	-362011076047133563	0.3812	1.0	0.6188	0.001	2	8	2	25000	1590949320929671315	True	True	True
2	2	62.92523193359375	11049.515625	1210.47314453125	0.04138057678937912	118.3191146850586	105.11669158935547	81.88677215576172	78.70182800292969	29.661819458007812	26.47687530517578	8.488112449645996	8.26061725616455	4.757759094238281	4.5302629470825195	86.65917205810547	239407.890625	38.052547454833984	906851.125	938120.9375	303316.71875	13999.412109375	531030	4228.9609375	174.99685668945312	0.009780464935302734	42	150	-362011076047133563	0.39115999999999995	0.99996	0.6088	0.001	2	8	0	25000	1590949320949833439	True	True	True
3	3	60.403175354003906	9337.4384765625	1200.298583984375	0.04081025347113609	111.02684783935547	96.63043212890625	81.8099594116211	78.61113739013672	29.6126766204834	26.413854598999023	8.482625961303711	8.254138946533203	4.75424861907959	4.525761604309082	83.59183502197266	195155.78125	31.65608024597168	859675.375	896379.8125	257630.671875	12326.962890625	531030	3753.388671875	153.17674255371094	0.009979467315673828	42	151	-362011076047133563	0.38029999999999997	1.0	0.6197	0.001	2	8	3	25000	1590949321330044935	True	True	True
4	4	58.98406219482422	9425.4482421875	1396.6695556640625	0.03975654020905495	114.9306411743164	97.08475494384766	84.27655029296875	81.05156707763672	30.243568420410156	27.018587112426758	8.658811569213867	8.428455352783203	4.799312591552734	4.56895637512207	77.92627716064453	183644.84375	24.23668670654297	1276176.625	1345632.125	257355.375	13209.0517578125	826280	3276.902587890625	130.2783203125	0.009636562805175782	42	127	4451108838596270159	0.3782	1.0	0.6218	0.001	2	10	1	25000	1590949322982380038	True	True	True
5	5	57.118160247802734	9052.3203125	1387.344482421875	0.03845156356692314	113.26799011230469	95.14368438720703	84.15866088867188	80.90030670166016	30.16449737548828	26.90614128112793	8.650390625	8.417651176452637	4.793664455413818	4.560924530029297	93.32289123535156	211219.5625	34.6338996887207	1334178.875	1405948.875	299347.125	12829.638671875	826280	3185.26708984375	122.47850036621094	0.009748297729492187	42	123	4451108838596270159	0.37129999999999996	1.0	0.6287	0.001	2	10	2	25000	1590949322967192359	True	True	True
6	6	58.35795593261719	8881.5849609375	1371.1318359375	0.038968756794929504	112.53913879394531	94.2421646118164	84.16146850585938	80.91647338867188	30.262489318847656	27.017494201660156	8.650590896606445	8.418806076049805	4.800663948059082	4.568878650665283	93.32289123535156	207236.203125	29.04642677307129	1299481.25	1372512.75	295507.34375	12665.0576171875	826280	3224.924072265625	125.6712875366211	0.009361057891845704	42	123	4451108838596270159	0.38770000000000004	1.0	0.6123	0.001	2	10	4	25000	1590949323165479660	True	True	True
7	7	63.50624084472656	10530.876953125	1189.5888671875	0.0413188673555851	116.12271118164062	102.62006378173828	81.83075714111328	78.64431762695312	29.702194213867188	26.515758514404297	8.484111785888672	8.256508827209473	4.760643005371094	4.5330400466918945	86.65917205810547	228171.65625	34.6338996887207	892631.4375	925301.875	292160.90625	13484.482421875	531030	4014.276123046875	165.86534118652344	0.009992451782226562	42	147	-362011076047133563	0.37460000000000004	1.0	0.6254	0.001	2	8	4	25000	1590949323247852044	True	True	True
8	8	56.55070877075195	8992.4619140625	1384.929443359375	0.039478544145822525	112.85760498046875	94.8285903930664	84.10040283203125	80.868408203125	30.13836669921875	26.906368255615234	8.64622974395752	8.415372848510742	4.791797637939453	4.560940742492676	93.32289123535156	209823.03125	33.094810485839844	1324059.875	1395701.125	297182.0625	12736.83984375	826280	3187.072998046875	125.82099914550781	0.009887518768310547	42	122	4451108838596270159	0.37350000000000005	1.0	0.6265	0.001	2	10	0	25000	1590949323280714721	True	True	True
9	9	55.878440856933594	8714.61328125	1576.8138427734375	0.0369669534265995	115.34927368164062	93.35208129882812	86.1671142578125	82.869384765625	30.708221435546875	27.410490036010742	8.793851852416992	8.55829906463623	4.8325018882751465	4.596949577331543	93.32289123535156	203340.578125	17.327251434326172	1710276.0	1835406.75	310448.28125	13305.4560546875	1186530	2638.865234375	97.55081176757812	0.009049564056396484	42	109	1828930964881350117	0.37939999999999996	1.0	0.6206	0.001	2	12	0	25000	1590949323101345742	True	True	True
